Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
342,11.91026689,10.96933683,11.10527539,10.84313315,9.600877774
345,11.86571075,10.93473108,11.06986044,10.7986588,9.613298913
348,11.82304508,10.88835323,11.02168915,10.75389864,9.554265657
351,11.78481854,10.84774921,10.98364764,10.71410411,9.522631366
354,11.74448922,10.81227756,10.9483854,10.67427859,9.499461317
357,11.70296249,10.7709723,10.89829737,10.63585493,9.458592418
360,11.66105114,10.72770249,10.87100759,10.59553703,9.440898811
363,11.62199135,10.6871093,10.8390179,10.55975721,9.443402008
366,11.58125731,10.63967718,10.78143307,10.51573346,9.388929035
369,11.54051223,10.60646047,10.75362381,10.47528329,9.416710335
372,11.50259352,10.56971058,10.71135813,10.43565489,9.324290091
375,11.46195497,10.52834607,10.66809522,10.39987608,9.335217491
378,11.42255899,10.48200743,10.62983266,10.35684045,9.272114018
381,11.38362879,10.45664338,10.59842674,10.31746478,9.237838583
384,11.34830779,10.42252598,10.55770512,10.28155771,9.330160168
387,11.30713731,10.37100706,10.52953587,10.24408819,9.280513901
390,11.26925113,10.33313158,10.47919436,10.20667069,9.230261466
393,11.23218748,10.30450607,10.44909445,10.16723184,9.209334867
396,11.19091902,10.26201956,10.41791474,10.12801289,9.168792718
399,11.1547485,10.23386487,10.37016045,10.08616195,9.186142615
402,11.11927122,10.18666634,10.34339924,10.05273097,9.171783669
405,11.08211027,10.16029866,10.31144641,10.01582965,9.142229466
408,11.04721025,10.11905185,10.26738832,9.981572525,9.165871736
411,11.00716402,10.08660118,10.22949304,9.9439963,9.081226611
414,10.97111323,10.0518259,10.19696357,9.907115841,9.118746448
417,10.93350839,10.01816397,10.16589892,9.867661481,9.029310596
420,10.89758565,9.978670633,10.13616609,9.833858551,9.07387261
423,10.862179,9.949663583,10.07576376,9.798567293,9.09833856
426,10.82705666,9.911074154,10.06259692,9.764228227,9.073414786
429,10.78993066,9.882596929,10.03418855,9.728905364,9.059549113
432,10.75471238,9.854410512,9.999399211,9.690397144,9.031755373
435,10.72347392,9.800672537,9.964234784,9.659730238,9.027154805
438,10.77647842,9.858754779,10.02614733,9.717845275,8.788402554
441,10.6464932,9.749732461,9.885412995,9.577964804,9.03038388
444,10.61470593,9.71496837,9.850048896,9.545800544,9.02936096
447,10.5824165,9.672154313,9.825137407,9.519241248,8.990835151
450,10.55513357,9.65031855,9.795895416,9.491511396,8.984207198
453,10.52525336,9.625291486,9.778486869,9.461640294,8.996115193
456,10.49047279,9.586485065,9.746244631,9.436177532,8.976869934
459,10.45741895,9.557582462,9.71425088,9.401553286,8.930841111
462,10.42426833,9.540240806,9.692449095,9.370168893,8.913994374
465,10.3901064,9.49966144,9.66668536,9.336437517,8.90413766
468,10.361065,9.481337541,9.631963135,9.302351113,8.849836564
471,10.32939682,9.45069566,9.606586616,9.278521768,8.83980595
474,10.29689287,9.418094209,9.57528288,9.24904644,8.841119722
477,10.26505468,9.392057625,9.552053894,9.215463133,8.826531438
480,10.23023396,9.368761676,9.519592979,9.185217221,8.809665082
483,10.20433628,9.334058286,9.495884694,9.15736151,8.76082637
486,10.16939741,9.300428109,9.461127472,9.128507698,8.722005442
489,10.13836239,9.275860229,9.449194464,9.097097013,8.693190394
492,10.10952923,9.251430382,9.413245617,9.067471087,8.696458506
495,10.07767664,9.215154439,9.385008056,9.038358474,8.664891651
