Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
423,9.66971417,8.841032801,9.024944296,8.664713248,8.36425759
426,9.644391646,8.81367999,9.011421512,8.632377378,8.320833432
429,9.613845094,8.789705073,8.981266759,8.605946659,8.321254957
432,9.584914379,8.754253119,8.964733963,8.579482554,8.281070184
435,9.561649467,8.740155146,8.927712064,8.552854352,8.30438454
438,9.532472457,8.713898383,8.906649315,8.521123359,8.270235764
441,9.501894919,8.687364846,8.875199762,8.499680782,8.272662652
444,9.476240917,8.658662738,8.856114527,8.47287554,8.209287977
447,9.450385425,8.639097218,8.846130947,8.440394693,8.201096705
450,9.426671109,8.608298678,8.815435706,8.418092022,8.186622279
453,9.396119462,8.588354973,8.779834893,8.393867425,8.167312865
456,9.370775954,8.562841266,8.76018204,8.368144414,8.192867185
459,9.346548599,8.534407904,8.750351204,8.342801386,8.147731221
462,9.313571887,8.520146906,8.723171801,8.315028346,8.104096353
465,9.291178127,8.493091279,8.688391858,8.291659907,8.120984395
468,9.264531418,8.464624325,8.677228692,8.266317977,8.136846013
471,9.240320442,8.439507102,8.653548887,8.237587372,8.122997244
474,9.21476674,8.423295155,8.61781982,8.214076069,8.076076182
477,9.186206264,8.39232098,8.605306536,8.19050956,8.057811965
480,9.161848055,8.370003565,8.583305506,8.170792158,8.075892792
483,9.137640078,8.341590934,8.559663096,8.145222216,8.049691825
486,9.111912972,8.331240789,8.536921963,8.116587592,8.025374645
489,9.087568553,8.310131873,8.516794331,8.093128853,7.987387491
492,9.062123139,8.28258583,8.497354819,8.073691435,7.965915126
495,9.036323541,8.257915707,8.471805527,8.046355718,8.000591997
498,9.014905806,8.235134342,8.44649551,8.025892101,7.945315187
501,8.990678382,8.216843794,8.42823894,8.000022215,7.951942916
504,8.966684404,8.188503799,8.403652615,7.975614735,7.95550573
507,8.94244748,8.171466851,8.393388728,7.955174625,7.901790007
510,8.920021393,8.146659127,8.369490289,7.933737446,7.910889661
513,8.89472799,8.122038088,8.344137469,7.914487231,7.892172793
516,8.87298921,8.106586548,8.331838574,7.885034362,7.848993587
519,8.843377321,8.085156767,8.300299232,7.866378313,7.877608174
522,8.820207599,8.061953435,8.285377532,7.842404355,7.86503943
525,8.79939346,8.039534833,8.259974145,7.82244373,7.83809516
528,8.776392341,8.025734469,8.245225045,7.800678444,7.852405259
531,8.752884927,7.995844831,8.226950615,7.77907251,7.850731821
534,8.729938509,7.971709719,8.190986452,7.758307612,7.849127317
537,8.707405099,7.950585531,8.178389216,7.735184632,7.816388245
540,8.685390405,7.928821847,8.163046558,7.715071763,7.80294243
543,8.666283385,7.910420516,8.14232775,7.693618508,7.803807494
546,8.644516299,7.878938143,8.112843455,7.675823918,7.782397705
549,8.619722446,7.862151084,8.092300024,7.65117746,7.774664912
552,8.599389243,7.839926447,8.084849359,7.632708658,7.794128679
555,8.575731235,7.827117438,8.056071047,7.609443421,7.737416107
558,8.557675237,7.800958987,8.036926397,7.588444922,7.736069962
561,8.53263075,7.777710475,8.017925972,7.572005546,7.735178848
564,8.517061961,7.751929764,7.999794092,7.553770711,7.74350768
567,8.495916315,7.74576925,7.987140778,7.529118084,7.70801045
570,8.471303728,7.715448712,7.970926108,7.508413906,7.70113132
573,8.450559421,7.696499517,7.949413337,7.488834485,7.72071273
576,8.432692169,7.675443556,7.931478952,7.471323985,7.697410744
579,8.413040219,7.654848547,7.912917818,7.450695129,7.660743844
582,8.390027211,7.639279232,7.893908395,7.4324949,7.661877846
585,8.37217914,7.61364455,7.87697508,7.415844334,7.681791286
588,8.34892215,7.60162249,7.855827589,7.393401929,7.655451735
591,8.332290213,7.571694917,7.84495326,7.375441206,7.641169048
594,8.311427315,7.555573308,7.818723813,7.354267721,7.616037434
597,8.292275375,7.531654013,7.808207819,7.334841229,7.628713712
600,8.270301832,7.518317266,7.783754343,7.315724347,7.619210087
603,8.253453184,7.496171046,7.772827067,7.301149895,7.590176808
606,8.236515641,7.481378518,7.758033673,7.27941071,7.606789905
609,8.215304707,7.467578766,7.736933329,7.264805032,7.555478068
