Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
96,17.06511146,16.59438423,16.54269903,16.4478452,12.46572675
99,16.98851001,16.52672961,16.42906153,16.36907587,12.40356231
102,16.92146,16.44892289,16.40448741,16.29683142,12.39999658
105,16.85163585,16.39177464,16.32148157,16.224488,12.35251501
108,16.77401937,16.29946289,16.23019196,16.14692098,12.2841722
111,16.70713497,16.23424121,16.16880619,16.07593286,12.23336317
114,16.64004127,16.16342787,16.09894406,15.99791135,12.10936505
117,16.5721116,16.09353795,16.01431583,15.92285388,12.08070587
120,16.49946135,16.00053028,15.95975925,15.85345436,12.0428004
123,16.42924926,15.94288644,15.85955218,15.77741596,12.0123845
126,16.3658889,15.87506771,15.80028286,15.70281178,11.93743592
129,16.29481669,15.78557378,15.72602173,15.63403246,11.86796297
132,16.22416191,15.72695958,15.67845339,15.55616276,11.85050594
135,16.15740325,15.63586992,15.5774071,15.49014252,11.75669565
138,16.09108197,15.58257368,15.53256281,15.42609551,11.78702181
141,16.02462773,15.51756922,15.448244,15.35289337,11.68926716
144,15.95921001,15.43972181,15.38189928,15.28503821,11.64843295
147,15.89355833,15.3855363,15.31315388,15.21611887,11.58380076
150,15.82588113,15.30798636,15.25347205,15.14574734,11.57224539
153,15.76397083,15.23071653,15.1952302,15.08230248,11.52534617
156,15.69963367,15.17359961,15.10797422,15.01210577,11.4656245
159,15.62961644,15.10422565,15.04841341,14.94857264,11.43612437
162,15.56044214,15.03988046,14.98997745,14.88155788,11.39753131
165,15.50641328,14.97031599,14.92656819,14.80580753,11.3223862
168,15.44016075,14.89046476,14.87864886,14.7507163,11.32071389
171,15.37652419,14.834786,14.79448618,14.68343561,11.24703768
174,15.3134254,14.77623333,14.75492325,14.61862635,11.23122561
177,15.25058669,14.70964235,14.676834,14.55639879,11.19899147
180,15.19241795,14.64012466,14.62036264,14.48987295,11.14011716
183,15.13081441,14.59558546,14.56552091,14.43510367,11.1093591
186,15.06767136,14.51086256,14.49433624,14.36230434,11.07681784
189,15.00373137,14.45361433,14.41732748,14.30640045,11.02873198
192,14.94381603,14.39370861,14.376339,14.24455042,11.00122393
195,14.88318709,14.33361656,14.29332644,14.18429635,10.93284099
198,14.82780519,14.26797537,14.2437151,14.12329532,10.90614706
201,14.76796694,14.20653389,14.20087325,14.05957133,10.90082796
204,14.70937137,14.15219971,14.14798066,14.01009103,10.85377852
207,14.65152065,14.08212341,14.07045097,13.94311143,10.8152409
210,14.59325583,14.02759527,14.01448156,13.885527,10.74120272
213,14.53938351,13.97995535,13.9600566,13.82621766,10.70927741
216,14.48115823,13.91818865,13.91133318,13.77369939,10.69291193
219,14.4220158,13.85884502,13.85114593,13.70774929,10.6197159
222,14.36919769,13.79320453,13.79102492,13.65343125,10.59273905
225,14.31194447,13.74545245,13.74221823,13.59158473,10.57298688
228,14.25105638,13.68450493,13.68468069,13.5404828,10.50096702
231,14.20427831,13.63073843,13.62680126,13.4826408,10.47481633
234,14.14304729,13.57886857,13.5716271,13.42149333,10.45755376
237,14.08922953,13.51732617,13.52027895,13.36659721,10.40776224
240,14.03767448,13.45375823,13.46996309,13.3192363,10.38358559
243,13.9825879,13.39210782,13.41702985,13.26173782,10.33116015
246,13.93195778,13.34053768,13.35839406,13.20707659,10.3126842
249,13.87287517,13.29355698,13.3054765,13.14857097,10.22525666
252,13.82565895,13.24399381,13.2559539,13.09567647,10.22220423
255,13.77078691,13.18477055,13.19004285,13.04087495,10.16958973
258,13.71672714,13.14285202,13.15494303,12.98950378,10.15731291
261,13.66546505,13.07149091,13.09700806,12.92791659,10.11045809
264,13.61569047,13.03399118,13.05975409,12.87780116,10.07562382
267,13.56404092,12.97693823,12.99883456,12.83087265,10.04766293
270,13.51567847,12.92092198,12.94910912,12.77320694,10.01708187
273,13.46157534,12.87203008,12.8922036,12.72568784,10.00218937
276,13.41022486,12.81151577,12.8566771,12.67093964,9.964480988
279,13.36228505,12.77303829,12.80294627,12.62294005,9.927054242
282,13.31369241,12.72055374,12.74497876,12.57481563,9.925743292
285,13.26161687,12.68075174,12.70331389,12.52211814,9.926317751
288,13.21384789,12.62554071,12.65467424,12.47298913,9.857910115
291,13.16483654,12.57882212,12.60567098,12.42061499,9.833772588
294,13.11784103,12.52297898,12.55123308,12.37173593,9.79687287
297,13.07149913,12.48367332,12.51674151,12.32916398,9.77280203
300,13.02025524,12.42765898,12.47563211,12.28148201,9.783899145
303,12.97392124,12.37335685,12.4075133,12.23086635,9.728232041
306,12.92848599,12.33270854,12.38095581,12.18048641,9.703169574
309,12.8802409,12.29044556,12.32843141,12.1365387,9.646788999
312,12.83208407,12.24928965,12.28745075,12.09130872,9.621254228
315,12.78728211,12.19135382,12.23415256,12.04774656,9.6216137
318,12.74599768,12.15380105,12.19614254,12.00235991,9.570816433
321,12.69728066,12.11187444,12.14072244,11.94750528,9.514176924
324,12.65257674,12.06194218,12.10551235,11.90572666,9.520035147
327,12.61028676,12.02187339,12.05310996,11.86365709,9.47593194
330,12.56367296,11.9865819,12.01195033,11.81505138,9.488187107
333,12.51910264,11.92954638,11.97184988,11.77600553,9.453816898
336,12.47356158,11.88745637,11.92773083,11.72922071,9.408151938
339,12.43389592,11.85036204,11.88996475,11.68840014,9.420302581
342,12.38960315,11.80204389,11.84785931,11.64808897,9.390656386
345,12.34520154,11.76045527,11.80444313,11.60288366,9.328594582
348,12.30401165,11.70844967,11.75517728,11.56212266,9.346036041
351,12.26254651,11.67960443,11.71399981,11.52045567,9.280768051
354,12.21752688,11.62942819,11.68001934,11.47818627,9.282130956
357,12.17750495,11.58997566,11.64334166,11.43659263,9.265351573
360,12.13527248,11.55481223,11.58629035,11.3942292,9.227123798
363,12.09499664,11.51689683,11.55455779,11.35083531,9.198922972
366,12.05480072,11.47252639,11.52005881,11.31166594,9.172624587
369,12.01326883,11.43753632,11.48334679,11.27010855,9.148718446
372,11.97302294,11.39083288,11.43734536,11.23412143,9.116262759
375,11.93188397,11.34903399,11.39652951,11.19214897,9.069087483
378,11.89100751,11.30577584,11.35604599,11.15184355,9.076471769
381,11.85130352,11.27486124,11.32242594,11.11187138,9.028390046
384,11.81433496,11.24000634,11.28437385,11.07125354,9.024621346
387,11.77426672,11.19355197,11.24356892,11.03477185,9.005855959
390,11.73316473,11.16489221,11.19963362,10.99484361,8.963248588
393,11.69404546,11.11851017,11.16340296,10.95566465,8.930236845
396,11.65522556,11.08232916,11.12427082,10.92064441,8.916579617
399,11.61525108,11.04422293,11.08739357,10.8790626,8.85097562
402,11.57951972,11.0083927,11.05644542,10.83912471,8.876250497
405,11.53692748,10.96837194,11.01551081,10.80563902,8.83039314
408,11.50385928,10.93271029,10.97373677,10.77345639,8.838247828
411,11.46527558,10.89529166,10.94601232,10.73333489,8.805905154
414,11.42902852,10.86965854,10.91381041,10.69741207,8.795593527
417,11.39043896,10.81607721,10.87469971,10.66504731,8.805650649
420,11.35481515,10.7855876,10.83700908,10.6223366,8.782726584
423,11.32225585,10.75879358,10.80434899,10.58901111,8.801368064
426,11.28510423,10.72516044,10.76428779,10.56184198,8.797909554
429,11.24912668,10.6857118,10.73716692,10.52085183,8.75062262
432,11.21123569,10.65379747,10.70219082,10.48924751,8.729774754
435,11.17651715,10.61883942,10.66660191,10.45306403,8.715199813
438,11.14197026,10.5853925,10.63428217,10.42134332,8.721896669
441,11.1090053,10.55815219,10.60194879,10.38693995,8.69884868
444,11.0743927,10.52270265,10.56165202,10.35303756,8.656259016
447,11.04252277,10.48553482,10.53350986,10.3264424,8.67327356
450,11.00479694,10.45736742,10.49519221,10.29079592,8.623286595
453,10.97242987,10.42166974,10.46655327,10.25759356,8.604914854
456,10.93684708,10.38914745,10.42974596,10.22925166,8.556050802
459,10.90329512,10.36199238,10.39707679,10.19461775,8.547372362
462,10.87391694,10.32854535,10.36900266,10.16387648,8.544304355
465,10.83986415,10.29491909,10.3325665,10.13267331,8.522593531
468,10.80853294,10.26566507,10.30640259,10.10128313,8.444220314
471,10.77641548,10.23748624,10.26768337,10.06730404,8.473156727
474,10.74255723,10.20567138,10.24036787,10.0386205,8.445012137
477,10.71159639,10.17204536,10.21840058,10.00717342,8.424356279
480,10.67857689,10.13990893,10.17702783,9.975565245,8.364437885
483,10.64638082,10.11337205,10.14374816,9.945693819,8.35855367
486,10.61436107,10.084377,10.12869426,9.91915812,8.330555212
489,10.58501565,10.04987416,10.08786999,9.887957735,8.369215132
492,10.55424853,10.01675923,10.05535166,9.858215368,8.297895128
495,10.52375894,9.993333132,10.02732508,9.829663883,8.297927614
498,10.49258274,9.959668576,10.00528344,9.801022155,8.245502569
501,10.46579857,9.934046909,9.982119544,9.770626141,8.236633595
504,10.43489876,9.90381906,9.946869818,9.742225601,8.175181578
507,10.40304407,9.874603519,9.92249969,9.708133988,8.120298423
510,10.37322464,9.850511791,9.893948127,9.681122948,8.110495435
513,10.3435012,9.815209831,9.860254927,9.652420763,8.105355743
516,10.31302891,9.784181034,9.832102012,9.622619548,8.108208771
519,10.28254479,9.755382192,9.808859769,9.597658122,8.060936576
522,10.25628521,9.731198292,9.771718695,9.571017547,8.066771034
525,10.22920852,9.710485896,9.746336011,9.538544066,8.02424031
528,10.19910437,9.672099976,9.721748929,9.511922124,7.982890798
531,10.17086401,9.656504398,9.692037917,9.484776035,7.955195732
534,10.14183808,9.622075945,9.668739602,9.456072321,7.942613912
537,10.11322751,9.594768262,9.642344506,9.426940077,7.882540218
540,10.08813713,9.567329403,9.609287404,9.400099475,7.879435336
543,10.06255531,9.540101282,9.581813169,9.3748388,7.863169825
546,10.03246717,9.515284235,9.558259822,9.346652474,7.836785435
549,10.00466198,9.491907732,9.531793236,9.319029186,7.815141831
552,9.975829536,9.468381015,9.503912567,9.293748173,7.772987326
555,9.947380546,9.434248337,9.480839234,9.268429287,7.750036433
558,9.922123863,9.408924955,9.45670927,9.239176483,7.732760695
561,9.89529569,9.378239401,9.422480179,9.210425069,7.697601919
564,9.870032335,9.35708255,9.398862428,9.186948998,7.672801236
567,9.840602699,9.332752943,9.373549443,9.158829166,7.669960495
570,9.813833932,9.308375399,9.349522707,9.133364512,7.660823955
573,9.786482889,9.279308084,9.323404162,9.105141231,7.617839504
576,9.760267272,9.254606218,9.299544557,9.079387519,7.600729935
579,9.734489555,9.228657035,9.268785214,9.053299333,7.566512833
582,9.709561875,9.20050315,9.246072696,9.025884101,7.551671707
585,9.684055698,9.179951206,9.22046497,9.001541961,7.519059859
588,9.6575198,9.1498381,9.193581386,8.974975942,7.501907179
591,9.633146809,9.12810164,9.17237126,8.949484364,7.493313369
594,9.604658644,9.10397107,9.149960589,8.927525557,7.468549891
597,9.578997579,9.082842611,9.12405886,8.899946633,7.470247521
600,9.554142472,9.05855133,9.099800877,8.870740617,7.42421121
603,9.527478429,9.031362824,9.079808791,8.849977471,7.424228606
606,9.503694458,9.006883085,9.051888352,8.825990431,7.422637775
609,9.478923551,8.981976225,9.024839656,8.802032988,7.361253388
612,9.456533641,8.96274863,9.00754264,8.775224046,7.358981194
